ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
4693158,HM294611,04/16/2006 05:04:11 PM,015XX W 80TH ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0612,006,21,71,08A,1167596,1851683,2006,02/28/2018 03:56:25 PM,41.748562394,-87.661443081,"(41.748562394, -87.661443081)"
7117231,HR526498,08/05/2009 05:00:00 PM,025XX W CHICAGO AVE,0890,THEFT,FROM BUILDING,ABANDONED BUILDING,false,false,1313,012,26,24,06,1159146,1905238,2009,02/28/2018 03:56:25 PM,41.895700698,-87.690939798,"(41.895700698, -87.690939798)"
7117232,HR526454,09/08/2009 06:00:00 PM,105XX S CORLISS AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0512,005,9,50,08B,1183449,1835038,2009,02/28/2018 03:56:25 PM,41.702532181,-87.603869349,"(41.702532181, -87.603869349)"
7117233,HR515095,09/01/2009 08:00:00 PM,062XX N BROADWAY,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,2433,024,48,77,08B,1167171,1941490,2009,02/28/2018 03:56:25 PM,41.995009162,-87.660420591,"(41.995009162, -87.660420591)"
7117234,HR506265,07/20/2009 12:01:00 AM,065XX N SHERIDAN RD,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,BANK,false,false,2432,024,49,1,11,1167061,1943974,2009,02/28/2018 03:56:25 PM,42.001827679,-87.66075345,"(42.001827679, -87.66075345)"
7117235,HR526533,09/05/2009 09:00:00 AM,013XX W WALTON ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1323,012,27,24,05,1167198,1906466,2009,02/28/2018 03:56:25 PM,41.898901171,-87.661331371,"(41.898901171, -87.661331371)"
7117236,HR525609,09/03/2009 04:00:00 PM,087XX S WESTERN AVE,0820,THEFT,$500 AND UNDER,FOREST PRESERVE,false,false,2221,022,19,72,06,1161897,1846391,2009,02/28/2018 03:56:25 PM,41.734160548,-87.682472998,"(41.734160548, -87.682472998)"
7117237,HR526186,08/23/2009 05:00:00 PM,030XX W 21ST PL,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1022,010,24,30,06,1156483,1889561,2009,02/28/2018 03:56:25 PM,41.852735722,-87.701144508,"(41.852735722, -87.701144508)"
7117238,HR526246,09/08/2009 04:45:00 PM,026XX E 79TH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,0421,004,7,43,06,1195477,1853107,2009,02/28/2018 03:56:25 PM,41.751827103,-87.559231739,"(41.751827103, -87.559231739)"
7117239,HR526581,09/08/2009 06:45:00 PM,095XX S PERRY AVE,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,0511,005,21,49,08A,1177290,1841701,2009,02/28/2018 03:56:25 PM,41.720957311,-87.62622148,"(41.720957311, -87.62622148)"
